State ,State Name,Departures (June 2021) 
NSW,New South Wales,"41,110"
Vic.,Victoria,"14,820"
Qld,Queensland,"34,000"
SA,South Australia,"1,680"
WA,Western Australia,"6,640"
Tas.,Tasmania,700
NT,Northern Terriority ,510
ACT,Australian Capital Territory ,0
,,
"(a) To confidentialise, estimates have been rounded to the nearest 10.",,
n.a The percentage change could not be calculated because the denominator is zero,,
,,
"Source: Australian Bureau of Statistics, Overseas Travel Statistics, Provisional June 2021",,
